,DATE,AVERAGE OPTICAL_DEPTH_047,carbonaceous_aerosols_470(kg/m^3),average_merra2(kg/m^3)_(M2T1NXAER v5.12.4)
0,01-10-2022,0.188398268,,3.50E-09
1,02-10-2022,0.242980159,,3.61E-09
2,03-10-2022,0.222057613,,1.86E-09
3,04-10-2022,0.373551587,9.04E-09,2.67E-09
4,05-10-2022,0.278813492,1.41E-08,2.78E-09
5,06-10-2022,0.320570281,1.49E-09,1.67E-09
6,07-10-2022,0.334944,1.72E-09,3.85E-09
7,08-10-2022,0.60390678,2.20E-09,5.89E-09
8,09-10-2022,0.703090909,2.04E-09,1.98E-09
9,10-10-2022,0.5451875,1.83E-09,1.73E-09
10,11-10-2022,0.340309524,3.56E-09,1.20E-09
11,12-10-2022,0.35202381,7.25E-09,2.23E-09
12,13-10-2022,0.413008065,4.85E-09,2.26E-09
13,14-10-2022,0.272992063,5.92E-09,2.82E-09
14,15-10-2022,0.373495868,7.85E-09,3.65E-09
15,16-10-2022,0.236952381,1.13E-08,4.43E-09
16,17-10-2022,0.315547619,1.18E-08,5.13E-09
17,18-10-2022,0.419928571,9.34E-09,4.64E-09
18,19-10-2022,0.504761905,6.32E-09,2.98E-09
19,20-10-2022,0.605064,7.46E-09,2.53E-09
20,21-10-2022,0.524674603,1.15E-08,2.01E-09
21,22-10-2022,0.653274194,9.50E-09,4.49E-09
22,23-10-2022,0.483626984,8.52E-09,4.95E-09
23,24-10-2022,0.555346774,1.12E-08,4.78E-09
24,25-10-2022,0.537369048,6.83E-09,4.16E-09
25,26-10-2022,0.597103175,7.82E-09,5.26E-09
26,27-10-2022,0.742713693,1.39E-08,6.00E-09
27,28-10-2022,0.548103586,1.71E-08,8.47E-09
28,29-10-2022,0.480564,1.64E-08,8.79E-09
29,30-10-2022,0.386630952,1.11E-08,1.09E-08
30,31-10-2022,0.507192,1.85E-08,0.000000014
31,01-11-2022,0.958195745,1.95E-08,1.16E-08
32,02-11-2022,1.675275362,1.76E-08,7.31E-09
33,03-11-2022,0.95218254,2.94E-08,7.89E-09
34,04-11-2022,0.633231959,2.50E-08,7.16E-09
35,05-11-2022,0.966084071,1.42E-08,1.40E-08
36,06-11-2022,,1.20E-08,1.04E-08
37,07-11-2022,0.958322709,1.34E-08,6.54E-09
38,08-11-2022,,1.93E-08,5.57E-09
39,09-11-2022,0.991196262,6.45E-09,5.35E-09
40,10-11-2022,1.43463871,7.34E-09,6.40E-09
41,11-11-2022,0.994738095,1.15E-08,3.60E-09
42,12-11-2022,0.697431535,9.11E-09,2.70E-09
43,13-11-2022,0.571952381,9.55E-09,5.79E-09
44,14-11-2022,,5.87E-09,6.37E-09
45,15-11-2022,0.415260355,9.43E-09,2.91E-09
46,16-11-2022,0.528984127,6.78E-09,3.39E-09
47,17-11-2022,0.377538153,6.66E-09,5.17E-09
48,18-11-2022,0.23384127,8.11E-09,4.00E-09
49,19-11-2022,0.414856061,7.65E-09,5.07E-09
50,20-11-2022,0.759897196,1.07E-08,5.17E-09
51,21-11-2022,0.492172131,9.83E-09,3.52E-09
52,22-11-2022,0.363392,6.16E-09,3.44E-09
53,23-11-2022,0.247513944,1.17E-08,3.35E-09
54,24-11-2022,0.152484,1.12E-08,3.14E-09
55,25-11-2022,0.248738095,1.82E-08,5.19E-09
56,26-11-2022,0.239718085,2.10E-08,5.25E-09
57,27-11-2022,0.279686508,2.03E-08,6.79E-09
58,28-11-2022,0.382191837,2.62E-08,7.53E-09
59,29-11-2022,0.544965812,4.05E-08,1.06E-08
