Unnamed: 0,Year,Month,Day,Hour,Minute,Sensor,Orbit,Latitude,Longitude,Optical_Depth_047,Optical_Depth_055
188670,2022,11,17,5,45,Terra,1,28.683332443237305,77.2268295288086,0.391,0.298
188671,2022,11,17,5,45,Terra,1,28.683332443237305,77.21733093261719,0.383,0.291
188672,2022,11,17,5,45,Terra,1,28.683332443237305,77.20783233642578,0.393,0.299
188673,2022,11,17,5,45,Terra,1,28.683332443237305,77.19832611083984,0.418,0.32
188674,2022,11,17,5,45,Terra,1,28.683332443237305,77.18882751464844,0.419,0.321
188675,2022,11,17,5,45,Terra,1,28.683332443237305,77.17932891845703,0.424,0.324
188676,2022,11,17,5,45,Terra,1,28.683332443237305,77.16983032226562,0.404,0.309
188677,2022,11,17,5,45,Terra,1,28.683332443237305,77.16033172607422,0.431,0.33
188678,2022,11,17,5,45,Terra,1,28.683332443237305,77.15083312988281,0.416,0.318
188679,2022,11,17,5,45,Terra,1,28.683332443237305,77.1413345336914,0.424,0.325
188680,2022,11,17,5,45,Terra,1,28.683332443237305,77.1318359375,0.395,0.301
188681,2022,11,17,5,45,Terra,1,28.683332443237305,77.1223373413086,0.38,0.289
189870,2022,11,17,5,45,Terra,1,28.674999237060547,77.2206802368164,0.366,0.279
189871,2022,11,17,5,45,Terra,1,28.674999237060547,77.211181640625,0.357,0.271
189872,2022,11,17,5,45,Terra,1,28.674999237060547,77.2016830444336,0.376,0.286
189873,2022,11,17,5,45,Terra,1,28.674999237060547,77.19219207763672,0.395,0.301
189874,2022,11,17,5,45,Terra,1,28.674999237060547,77.18269348144531,0.403,0.309
189875,2022,11,17,5,45,Terra,1,28.674999237060547,77.1731948852539,0.419,0.321
189876,2022,11,17,5,45,Terra,1,28.674999237060547,77.1636962890625,0.397,0.302
189877,2022,11,17,5,45,Terra,1,28.674999237060547,77.1541976928711,0.413,0.316
189878,2022,11,17,5,45,Terra,1,28.674999237060547,77.14469909667969,0.404,0.309
189879,2022,11,17,5,45,Terra,1,28.674999237060547,77.13520050048828,0.394,0.3
189880,2022,11,17,5,45,Terra,1,28.674999237060547,77.12570190429688,0.368,0.28
191069,2022,11,17,5,45,Terra,1,28.66666603088379,77.22403717041016,0.373,0.284
191070,2022,11,17,5,45,Terra,1,28.66666603088379,77.21453857421875,0.412,0.315
191071,2022,11,17,5,45,Terra,1,28.66666603088379,77.20504760742188,0.411,0.314
191072,2022,11,17,5,45,Terra,1,28.66666603088379,77.19554901123047,0.389,0.296
191073,2022,11,17,5,45,Terra,1,28.66666603088379,77.18605041503906,0.359,0.273
191074,2022,11,17,5,45,Terra,1,28.66666603088379,77.17655181884766,0.361,0.274
191075,2022,11,17,5,45,Terra,1,28.66666603088379,77.16705322265625,0.412,0.315
191076,2022,11,17,5,45,Terra,1,28.66666603088379,77.15755462646484,0.403,0.308
191077,2022,11,17,5,45,Terra,1,28.66666603088379,77.14805603027344,0.423,0.324
191078,2022,11,17,5,45,Terra,1,28.66666603088379,77.13856506347656,0.386,0.294
191079,2022,11,17,5,45,Terra,1,28.66666603088379,77.12906646728516,0.371,0.282
192268,2022,11,17,5,45,Terra,1,28.65833282470703,77.2273941040039,0.387,0.294
192269,2022,11,17,5,45,Terra,1,28.65833282470703,77.21790313720703,0.399,0.304
192270,2022,11,17,5,45,Terra,1,28.65833282470703,77.20840454101562,0.452,0.346
192271,2022,11,17,5,45,Terra,1,28.65833282470703,77.19890594482422,0.46,0.352
192272,2022,11,17,5,45,Terra,1,28.65833282470703,77.18940734863281,0.427,0.327
192273,2022,11,17,5,45,Terra,1,28.65833282470703,77.17991638183594,0.366,0.278
192274,2022,11,17,5,45,Terra,1,28.65833282470703,77.17041778564453,0.356,0.271
192275,2022,11,17,5,45,Terra,1,28.65833282470703,77.16091918945312,0.398,0.302
192276,2022,11,17,5,45,Terra,1,28.65833282470703,77.15142059326172,0.414,0.317
192277,2022,11,17,5,45,Terra,1,28.65833282470703,77.14192962646484,0.433,0.331
192278,2022,11,17,5,45,Terra,1,28.65833282470703,77.13243103027344,0.417,0.319
192279,2022,11,17,5,45,Terra,1,28.65833282470703,77.12293243408203,0.393,0.299
193468,2022,11,17,5,45,Terra,1,28.64999961853028,77.22126007080078,0.483,0.369
193469,2022,11,17,5,45,Terra,1,28.64999961853028,77.21176147460938,0.504,0.386
193470,2022,11,17,5,45,Terra,1,28.64999961853028,77.2022705078125,0.536,0.41
193471,2022,11,17,5,45,Terra,1,28.64999961853028,77.1927719116211,0.529,0.405
193472,2022,11,17,5,45,Terra,1,28.64999961853028,77.18327331542969,0.468,0.358
193473,2022,11,17,5,45,Terra,1,28.64999961853028,77.17378234863281,0.407,0.312
193474,2022,11,17,5,45,Terra,1,28.64999961853028,77.1642837524414,0.385,0.293
193475,2022,11,17,5,45,Terra,1,28.64999961853028,77.15478515625,0.428,0.328
193476,2022,11,17,5,45,Terra,1,28.64999961853028,77.14529418945312,0.425,0.325
193477,2022,11,17,5,45,Terra,1,28.64999961853028,77.13579559326172,0.436,0.334
193478,2022,11,17,5,45,Terra,1,28.64999961853028,77.12629699707031,0.426,0.326
194667,2022,11,17,5,45,Terra,1,28.64166641235352,77.22461700439453,0.523,0.4
194668,2022,11,17,5,45,Terra,1,28.64166641235352,77.21512603759766,0.53,0.406
194669,2022,11,17,5,45,Terra,1,28.64166641235352,77.20562744140625,0.531,0.406
194670,2022,11,17,5,45,Terra,1,28.64166641235352,77.19613647460938,0.518,0.397
194671,2022,11,17,5,45,Terra,1,28.64166641235352,77.18663787841797,0.49,0.375
194672,2022,11,17,5,45,Terra,1,28.64166641235352,77.17713928222656,0.453,0.346
194673,2022,11,17,5,45,Terra,1,28.64166641235352,77.16764831542969,0.433,0.331
194674,2022,11,17,5,45,Terra,1,28.64166641235352,77.15814971923828,0.424,0.324
194676,2022,11,17,5,45,Terra,1,28.64166641235352,77.13916015625,0.467,0.357
194677,2022,11,17,5,45,Terra,1,28.64166641235352,77.12966918945312,0.445,0.341
195866,2022,11,17,5,45,Terra,1,28.63333320617676,77.22798156738281,0.514,0.393
195867,2022,11,17,5,45,Terra,1,28.63333320617676,77.2184829711914,0.531,0.406
195868,2022,11,17,5,45,Terra,1,28.63333320617676,77.20899200439453,0.547,0.418
195869,2022,11,17,5,45,Terra,1,28.63333320617676,77.19949340820312,0.536,0.41
195870,2022,11,17,5,45,Terra,1,28.63333320617676,77.19000244140625,0.506,0.387
195871,2022,11,17,5,45,Terra,1,28.63333320617676,77.18051147460938,0.448,0.343
195872,2022,11,17,5,45,Terra,1,28.63333320617676,77.17101287841797,0.438,0.335
195873,2022,11,17,5,45,Terra,1,28.63333320617676,77.1615219116211,0.443,0.339
195874,2022,11,17,5,45,Terra,1,28.63333320617676,77.15202331542969,0.468,0.358
195876,2022,11,17,5,45,Terra,1,28.63333320617676,77.1330337524414,0.471,0.36
195877,2022,11,17,5,45,Terra,1,28.63333320617676,77.12354278564453,0.463,0.354
197066,2022,11,17,5,45,Terra,1,28.625,77.22184753417969,0.451,0.345
197067,2022,11,17,5,45,Terra,1,28.625,77.21235656738281,0.465,0.356
197068,2022,11,17,5,45,Terra,1,28.625,77.20286560058594,0.476,0.364
197069,2022,11,17,5,45,Terra,1,28.625,77.19336700439453,0.462,0.354
197070,2022,11,17,5,45,Terra,1,28.625,77.18387603759766,0.447,0.342
197071,2022,11,17,5,45,Terra,1,28.625,77.17437744140625,0.413,0.316
197072,2022,11,17,5,45,Terra,1,28.625,77.16488647460938,0.445,0.341
197073,2022,11,17,5,45,Terra,1,28.625,77.1553955078125,0.482,0.369
197074,2022,11,17,5,45,Terra,1,28.625,77.1458969116211,0.519,0.398
197075,2022,11,17,5,45,Terra,1,28.625,77.13640594482422,0.483,0.369
197076,2022,11,17,5,45,Terra,1,28.625,77.12691497802734,0.469,0.359
198265,2022,11,17,5,45,Terra,1,28.61666679382324,77.22521209716797,0.412,0.315
198266,2022,11,17,5,45,Terra,1,28.61666679382324,77.2157211303711,0.422,0.323
198267,2022,11,17,5,45,Terra,1,28.61666679382324,77.20623016357422,0.416,0.318
198268,2022,11,17,5,45,Terra,1,28.61666679382324,77.19673156738281,0.414,0.317
198269,2022,11,17,5,45,Terra,1,28.61666679382324,77.18724060058594,0.418,0.32
198270,2022,11,17,5,45,Terra,1,28.61666679382324,77.17774963378906,0.423,0.324
